switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
8,14,32,5,2,96,6.68,31.9,16696.55,2946.64,50574,9292.72,18216.02,2935.65,55497,9162.01
8,14,32,10,2,96,6.68,42.1,14344.09,2737.14,50161,9436.61,16060.31,2727.08,56669,9626.53
8,14,32,20,2,96,6.68,62.1,7117.55,1289.65,53796,9584.88,7195.64,1156.27,54907,8837.16
8,14,32,30,2,96,6.68,118.3,4009.08,722.69,51910,9336.33,4098.09,684.46,52709,8776.83
8,14,64,5,2,128,6.59,37.2,14546.67,2565.01,49166,8641.18,15612.31,2508.41,54523,8762.31
8,14,64,10,2,128,6,43.6,4969.24,910.63,52115,9202,5084.59,814.42,52831,8487.57
8,14,64,20,2,128,6,63.8,6613.01,1218.51,54414,9877.38,6774.2,1146.11,54588,9247.48
8,14,64,30,2,128,6.59,108.6,3401.17,591.51,51275,8983.43,3417.79,549.13,51943,8356.73
8,14,128,5,2,192,6.54,38,8066.82,1507.51,46630,8614.59,8970.16,1452.61,51907,8412.49
8,14,128,10,2,192,6.54,48.4,7497.46,1498.82,43332,8231.19,8108.33,1325.54,51642,8461.88
8,14,128,20,2,192,6,95.7,4353,826.94,43491,7750.07,4724.06,710.79,53825,8100.98
8,14,128,30,2,192,6.54,89.1,2172.54,389.99,46857,8350.83,2275.95,364.54,50451,8110.29
8,12,16,2,5,48,4.46,27.2,13134.26,2317.8,46379,8129.05,18901.25,3071.21,52967,8646.65
8,12,16,5,2,48,4.46,31.5,11827.59,2150.51,46958,8997.33,24203.84,4050.45,54974,9175.81
8,12,16,5,5,48,4.46,42.3,7668.32,1365.73,50382,9228.71,9649.22,1588.99,54453,8929.43
8,12,16,10,2,48,4.46,44.4,10856.26,1892,45533,8060.93,19805.07,3181.29,52628,8443.16
8,12,16,10,5,48,4.46,76,5873.86,1057.14,44157,8130.26,15817.47,2597.01,58312,9607.57
18,27,54,2,2,162,4.62,37.8,16321.88,3040.11,41507,7602.07,53628.78,8703.13,64140,10395.32
18,27,54,2,5,162,4.62,44.3,13819.8,2704.72,49685,9543.55,52815.17,8970.77,62774,10662.3
18,27,54,5,2,162,4.62,62.5,12173.54,2173.34,45174,8078.88,51947.92,8304.72,63707,10190.99
18,27,54,5,5,162,4.62,77.6,11496.06,2110.27,43269,7972.4,50881.17,8216.09,62135,10028.52
18,27,54,10,2,162,4.62,102.4,13956.34,2575.15,39673,7511.77,51433.95,8360.8,63973,10393.16
18,27,54,10,5,162,4.62,132.4,5602.65,1057.63,39563,7412.05,49758.29,8276.73,64283,10691.73
32,48,128,2,2,384,4.46,71.9,7404.49,1354.6,54134,9748.21,55003.17,8288.78,69003,10377.33
