switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
8,7,56,23,5,70,5.33,134.8,43.75,5.83,161,23.05,52.77,20.21,184,88.28
1,0,8,9,8,8,1,85.9,2.89,0.48,14,2.74,7.43,2.83,61,18.91
2,40,14,23,9,55,42,228,113.29,12.05,278,39.08,124.73,32.13,312,85.76
2,21,20,74,0,42,23,18.2,67.31,8.12,175,23.05,213.08,45.55,1387,289.25
2,1,20,55,7,22,2.05,401,8.53,1.33,54,8.06,13.58,6.18,83,39.3
2,20,20,4,6,41,22,42.3,63.31,7.13,205,25.23,71.25,16.99,209,60.18
32,31,288,20,9,350,9.09,229,172.35,24.24,545,171.49,181.26,68.21,381,141.46
2,54,14,45,2,69,56,113.7,148.93,15.79,265,36.2,177.33,39.41,343,84.02
8,7,8,1,10,22,5.86,26.9,43.31,4.86,187,23.26,48.4,10.46,192,45.72
2,20,16,13,3,37,22,56.3,62.56,6.95,186,22.73,77.78,19.23,194,57.01
